id,ano_jogo,temporada,id_equipe,id_piloto,status_piloto,tipo_carreira
455,2019,10,26,47,1,PILOTO
459,2019,10,28,51,1,PILOTO
462,2020,1,31,71,1,PILOTO
463,2020,1,31,72,2,PILOTO
464,2020,1,32,73,1,PILOTO
465,2020,1,32,74,2,PILOTO
466,2020,1,33,75,1,PILOTO
467,2020,1,33,76,2,PILOTO
468,2020,1,34,77,1,PILOTO
469,2020,1,34,78,2,PILOTO
470,2020,1,35,79,1,PILOTO
471,2020,1,35,80,2,PILOTO
472,2020,1,36,81,1,PILOTO
473,2020,1,36,82,2,PILOTO
474,2020,1,37,83,1,PILOTO
475,2020,1,37,84,2,PILOTO
476,2020,1,38,85,1,PILOTO
477,2020,1,38,86,2,PILOTO
478,2020,1,39,87,1,PILOTO
479,2020,1,39,88,2,PILOTO
480,2020,1,40,90,1,PILOTO
481,2020,1,40,91,2,PILOTO
482,2020,2,31,71,1,PILOTO
483,2020,2,31,72,2,PILOTO
484,2020,2,32,73,1,PILOTO
485,2020,2,32,74,2,PILOTO
486,2020,2,33,75,1,PILOTO
487,2020,2,33,76,2,PILOTO
488,2020,2,34,91,1,PILOTO
489,2020,2,34,78,2,PILOTO
490,2020,2,35,79,1,PILOTO
491,2020,2,35,80,2,PILOTO
492,2020,2,36,81,1,PILOTO
493,2020,2,36,82,2,PILOTO
494,2020,2,37,83,1,PILOTO
495,2020,2,37,84,2,PILOTO
496,2020,2,38,85,1,PILOTO
497,2020,2,38,86,2,PILOTO
498,2020,2,39,77,1,PILOTO
499,2020,2,39,88,2,PILOTO
500,2020,2,40,90,1,PILOTO
501,2020,2,40,92,2,PILOTO
502,2020,3,31,91,1,PILOTO
503,2020,3,31,72,2,PILOTO
504,2020,3,32,92,1,PILOTO
505,2020,3,32,74,2,PILOTO
506,2020,3,33,75,1,PILOTO
507,2020,3,33,76,2,PILOTO
508,2020,3,34,86,1,PILOTO
509,2020,3,34,78,2,PILOTO
510,2020,3,35,79,1,PILOTO
511,2020,3,35,80,2,PILOTO
512,2020,3,36,81,1,PILOTO
513,2020,3,36,82,2,PILOTO
514,2020,3,37,83,1,PILOTO
1,2017,1,1,1,1,PILOTO
515,2020,3,37,84,2,PILOTO
516,2020,3,38,85,1,PILOTO
517,2020,3,38,93,2,PILOTO
